time,acc-side,acc-up/down,acc-front/back
1566152802834,-2.26,18.74,0.57
1566152802854,-2.41,20.58,-1.34
1566152802874,-1.3,17.59,-0.61
1566152802894,-0.69,13.95,-0.34
1566152802914,0.11,11.3,-1.72
1566152802934,0.88,7.63,-2.03
1566152802954,2.15,6.36,0
1566152802974,1.3,3.83,0.19
1566152802994,1.65,0,-3.07
1566152803014,3.07,-3.64,-5.59
1566152803034,2.15,-4.91,-6.48
1566152803054,1.46,-5.1,-3.99
1566152803074,0.46,-3.91,-1.49
1566152803094,1.57,0.38,-1.26
1566152803114,1.23,4.14,-4.41
1566152803134,-0.92,19.73,2.68
1566152803154,0.88,36.56,-25.44
1566152803174,9.12,4.56,15.37
1566152803194,3.33,32.19,-3.68
1566152803214,2.18,15.29,0.88
1566152803234,2.38,19.35,-0.8
1566152803254,1.88,13.72,0.04
1566152803275,1.26,10.12,-0.77
1566152803295,-0.04,6.21,-1.69
1566152803315,0.69,3.99,-0.57
1566152803335,0.27,-0.11,-0.96
1566152803355,-1.23,-1.15,-2.41
1566152803376,-3.45,-2.41,-6.17
1566152803396,-3.26,-4.83,-7.01
1566152803416,-1.61,-5.67,-3.68
1566152803436,0.04,-2.57,-0.5
1566152803456,-1.65,1.76,0.61
1566152803476,-2.45,7.74,-3.83
1566152803496,5.82,26.82,-4.02
1566152803517,0.84,15.6,-15.06
1566152803538,-7.59,15.21,-1.92
1566152803558,-1.42,22.99,2.99
1566152803578,-1.99,22.69,-5.1
1566152803598,0.73,18.32,-0.57
1566152803618,-0.5,15.29,-3.33
1566152803638,0.31,12.42,0.19
1566152803658,0.23,8.89,-1.72
1566152803679,0.65,5.21,-1.95
1566152803699,1.11,1.65,-0.8
1566152803719,2.07,0.38,-1.57
1566152803739,3.68,-3.07,-5.25
1566152803759,2.11,-4.87,-6.67
1566152803779,0.88,-5.17,-4.52
1566152803799,0.42,-3.37,-2.53
1566152803819,0.5,-0.38,-1.92
1566152803839,2.34,4.45,-4.33
1566152803859,-3.49,23.3,-1.03
1566152803879,0.96,17.78,-11.92
1566152803899,3.72,12.61,-0.19
1566152803919,3.87,24.95,-4.25
1566152803939,4.87,20,-2.91
1566152803959,4.14,20.85,-3.03
1566152803979,3.26,16.71,-0.92
1566152803999,2.38,13.26,0.23
1566152804021,1.34,9.16,-1.46
1566152804041,0.19,6.09,-0.65
1566152804061,0.27,3.68,-2.34
1566152804081,0.42,-1.11,-0.96
1566152804101,-2.18,-2.49,-2.72
1566152804121,-3.87,-2.61,-5.75
1566152804141,-3.49,-4.25,-6.4
1566152804161,-1.61,-4.29,-4.25
1566152804181,-0.5,-1.49,-0.92
1566152804201,-1.72,3.6,-1.88
1566152804222,0.57,10.23,-2.91
1566152804242,6.25,29.58,-13.8
1566152804262,0.04,5.29,-1.84
1566152804282,-5.1,21.42,-1.23
1566152804303,-1.38,21.23,3.37
1566152804323,-2.99,22.3,-1.19
1566152804343,-0.34,18.7,-0.84
1566152804363,0.38,14.79,0.08
1566152804383,-0.61,12.07,-1.72
1566152804403,-0.34,7.89,-1.53
1566152804423,0.96,6.82,-0.46
1566152804443,0.42,5.13,-1.3
1566152804464,0.27,0.27,-1.15
1566152804484,2.3,-2.95,-6.21
1566152804504,2.18,-4.75,-6.9
1566152804524,2.15,-5.52,-4.94
1566152804544,1.95,-3.03,-3.07
1566152804564,1.99,-0.23,0.31
1566152804584,4.56,2.72,-3.33
1566152804604,0.54,11.84,-2.41
1566152804624,-2.49,40.35,-18.97
1566152804644,2.22,7.2,9.81
1566152804664,4.56,24.72,-10.5
1566152804684,4.98,22.15,0.96
1566152804704,4.1,17.93,-1.61
1566152804724,1.8,15.79,-0.34
1566152804744,1.42,11.46,0.04
1566152804765,1.07,9.39,-2.26
1566152804785,0.84,4.75,-2.34
